A1	ỉ,z
A2	swr,wnm,ḏd
A4	dwꜣ,ỉmn
A5	ỉmn
A7	wrd,nn,ḥms
A8	hnw
A9	ꜣṯp,ꜣtp,fꜣỉ,fꜣ,kꜣt,f
A12	mnfyt,mšꜥ
A13A	ḫftỉ,ḫrw
A15	ḫr
A16	ks,ksỉ,ksw
A17	nmḥ,nnỉ,šrỉ,ẖrd
A17A	ḥms,ḥmsỉ,msw
A18	ỉnp,ỉmty
A19	ỉꜣw,ỉkw,rhn,smsw,tnỉ,wr
A20	smsw
A21	smr,sr
A23	ỉty
A24	ḥwỉ,nḫt,sbꜣ,ḥw
A25	ḥwỉ,ḥw
A26	ꜥš,ỉ,nỉs
A28	ḥꜥỉ,ḥꜣỉ,ỉꜣs,ḳꜣỉ,ḳꜣ,ḥꜥ
A29	sḫr
A31	ꜥnw,ꜥn
A32	hy-hnw,ḫbỉ,ḫb
A35	ḳd
A36	ꜥftỉ,ꜥfty
A37	ꜥftỉ,ꜥfty
A38	ḳỉs,ḳỉz
A40	nṯr
A47	ỉry,mnỉw,sꜣw
A48	ỉry,mnỉw,sꜣw
A50	šps,špsỉ
A52	sꜥḥ,šps,špsỉ
A53	ḳỉ,twt,wỉ
A54	mnỉ,nb-ꜥnḫ
A55	sḏr,ẖꜣt
A58	bꜣ
A59	sḥr
A81	wzš,wšš
A98	sḏr
A121C	ꜥḫ,ꜥḫ-pt,twꜣ,twꜣ-pt
A199A	ḫꜣtyw,mnhwy,mnḥ,ḫꜣty
A239	ỉḥy
A245	ḏr,shꜣ.t
A304	nsw.t
A311	ỉty
A413	ḥwỉ,ḥw
B1	st,ỉ,ṯ
B2	bkꜣ,ỉwr
B4	ms,msỉ
B7	ḥm.t-nsw.t
B37	ỉbꜣ
B76	-
B77	-
BB3	t+w
BB4	t+w+w
C7	stẖ
C10	mꜣꜥt
C11	ḥḥ
C18	ṯꜣ-tnn
CC1	1
CC2	2
CC3	3
CC4	4
CC5	5
CC6	6
CC7	7
CC8	8
CC9	9
CC10	10
CC100	100
CC1000	1000
CC20	20
CC200	200
CC30	30
CC300	300
CC40	40
CC400	400
CC50	50
CC500	500
CC60	60
CC600	600
CC700	700
CC80	80
CC90	90
D1	ḏꜣḏꜣ,tp
D2	ḥr
D3	šnỉ,šny,wš,šn
D4	ỉr,ỉrt,mꜣ
D6	dgỉ,ptỉ,ptr,šp
D7	ꜥn,ptr
D7C	ꜥn,ptr
D9	rmỉ,rm,ỉwḥ
D10	wḏꜣt,wḏꜣ
D11	1/2
D12	ḏfḏ,ỉr,mꜣ,1/4
D13	1/8
D14	1/16
D15	1/32
D16	1/64
D17	tỉt,dnỉt
D20	fnd,fnḏ,ḫnt,rš
D21	r,rꜣ
D22	rꜣwỉ,nbt
D23	ḫmt-rꜣw,rꜣ-ḫmt,ḫmt-rꜣw
D24	spt
D25	spty
D26	bšỉ,psg,snf,bš
D27	mnꜥỉ,mnḏ,snḳ,mnꜥ
D28	kꜣ
D32	ḥpt,pgꜣ,n,nn,sḫn
D33	ẖn,ẖnỉ
D34	ꜥḥꜣ
D35	n,smḫ,ḫm
D36	ꜥ,mḥ,dỉ
D37	d,ḏ,dỉ,ỉmỉ,m,mỉ,rdỉ
D39	ḥnk,m,mwt
D40	nḫt,ḫꜣỉ
D41	gbꜣ,nỉ,rmn
D42	mḥ
D43	ḫw,ḫwỉ
D45	ḏsr
D46
	d,ḏrt
D49	ꜣmm,ꜣm,ḫfꜥ,ḥmꜣg
D50	ḏbꜥ
D51	ꜥnt,dḳr
D52	mt,bꜣḥ
D53	bꜣḥ,mt
D54	ỉw,nmtt
D55	ꜥnn,ꜥn
D56	gḥ,gḥs,rd,sbḳ,ꜣṯw
D57	ỉꜣt,ỉꜣṯ,sỉꜣṯ,th,thỉ
D58	b,bw
D60	wꜥb
D61	sꜣḥ
DD2	2
DD3	3
DD4	4
DD5	5
DD6	6
DD7	7
DD8	8
D143	rmỉ,rm
D212A	-
DD10	10
DD20	20
E1	ỉḥ,kꜣ
E2	kꜣ,smꜣ
E6	ỉbr,ssmt,zzmt
E8	ỉb
E9	ỉw
E10	bꜣ,ẖnmw
E12	rrỉ
E14	ỉw,ṯsm,sr
E16	ḥry-sštꜣ,ỉnpw
E17	sꜣb,zꜣb
E21	nšnỉ,stẖ
E23	l,rw,nb
E28	mꜣ-ḥḏ
E29	gḥs
E34	wn
E103	šsꜣ,ḏbn
F1	ỉḥ
F4	ḥꜣt
F5	šsꜣ
F6	šsꜣ
F7	šf,šfyt
F7A	šf,šfyt
F8	šfyt
F10	ꜣm,ḥtyt,ḫḫ
F12	wsr
F13	ỉp,wp,wpt
F14	wpt-rnpt
F15	wpt-rnpt
F16	ꜥb,db
F17	ꜥbw
F18	bḥ,bỉ,bỉꜣ,ḥw,ỉbḥ,nḥḏt,psḥ
F19	ꜥrt,ꜥr
F20	dp,ỉmy-rꜣ,mr,ns
F21	ꜥnḫ,ḏrḏ,ỉdn,msḏr,sḏm
F22	kfꜣ,pḥ
F23	msḫtỉw,ḫpš
F25	wḥm
F26	ẖn
F27	dḥr,pnw
F29	sṯ,stỉ,st
F30	šd
F31	ms,msỉ
F32	ẖ,ẖt
F33	sd
F34	ḥꜣty,ỉb
F35	nfr
F36	smꜣ,zmꜣ
F37B	ỉꜣt,psḏ,sm
F39	ỉmꜣḫ,psḏ
F40	ꜣw
F42	spr
F43	spḥt
F44	ỉsw,ỉwꜥ
F45	ỉd,ỉdt
F46	pẖr,ḳꜣb,wḏb
F48	pẖr,ḳꜣb,wḏb
F51	ꜣs,ꜥt,ḥꜥw,ỉw,ỉwf,nḥbt,ws
F143A	ỉd
Ff100	-
G1	ꜣ
G3	mꜣ
G4	tw,tyw
G5	ḥr
G6	bỉk
G7	ḥr,nsw,nṯr
G8	ḥr-nbw,ḥr-nbw
G9	rꜥ
G11	ꜥšm,ꜥḫm,ꜥẖm,šnbt,spdw
G14	mt,mwt,nr,nrt
G15	mwt
G16A	nbty,nb.ty,mwt+nb
G17	m
G21	nḥ
G22	ḏb
G23	rḫyt
G24	rḫyt
G25	ꜣḫ
G26	ḏḥwty,hb,ḥḥwtỉ
G27	dšr
G28	gm
G29	bꜣ
G30	bꜣw
G32	bꜥḥỉ,bꜥḥ
G35	ꜥḳ
G36	wr
